,Loss
0,0.32448146
1,0.3175768
2,0.29727152
3,0.263619
4,0.42318907
5,0.27983093
6,0.1373991
7,0.2737263
8,0.15598623
9,0.3142207
10,0.19617513
11,0.30559736
12,0.102086164
13,0.18786927
14,0.10869886
15,0.042469487
16,0.14994188
17,0.3899644
18,0.18624249
19,0.23221341
20,0.30900532
21,0.3889523
22,0.32916373
23,0.10378145
24,0.0810519
25,0.17210872
26,0.25634718
27,0.37803477
28,0.11201322
29,0.297263
30,0.2896574
31,0.18015048
32,0.37236774
33,0.29047528
34,0.686076
35,0.16565244
36,0.2605429
37,0.28765818
38,0.25402683
39,0.07942265
40,0.10241362
41,0.18685028
42,0.27603096
43,0.13326252
44,0.29108518
45,0.18134855
46,0.21095438
47,0.2756447
48,0.25900722
49,0.12602836
50,0.16946557
51,0.081502154
52,0.06328621
53,0.23750572
54,0.17165644
55,0.30366883
56,0.19938733
57,0.18212557
58,0.30569825
59,0.21428668
60,0.10987546
61,0.20316067
62,0.4392504
63,0.20204179
64,0.37921733
65,0.25836536
66,0.32329112
67,0.23069331
68,0.35571942
69,0.3796699
70,0.18826248
71,0.107181564
72,0.48011017
73,0.34714875
74,0.0909871
75,0.14246567
76,0.33722058
77,0.18147163
78,0.2834518
79,0.2050238
80,0.1641521
81,0.15940633
82,0.13036695
83,0.41407853
84,0.13460454
85,0.13340816
86,0.43109822
87,0.08274602
88,0.27110216
89,0.12743303
90,0.26661217
91,0.24890205
92,0.4092106
93,0.27280372
94,0.26638025
95,0.23105541
96,0.20302732
97,0.22069044
98,0.14927496
99,0.27009082
100,0.22239879
101,0.5465185
102,0.23125724
103,0.19015622
104,0.10159735
105,0.2707575
106,0.45890942
107,0.30874068
108,0.14164789
109,0.23560853
110,0.35852534
111,0.32824013
112,0.43496957
113,0.26149213
114,0.40674156
115,0.5007378
116,0.39628857
117,0.17820922
118,0.22908565
119,0.3330173
120,0.22376406
121,0.11167131
122,0.25130734
123,0.41093904
124,0.24165702
125,0.090419196
126,0.1901196
127,0.17867795
128,0.12751871
129,0.0515154
130,0.10324027
131,0.36696663
132,0.08796605
133,0.1502436
134,0.22039445
135,0.16989529
136,0.2326581
137,0.20000498
138,0.22995606
139,0.19747017
140,0.23567763
141,0.28130817
142,0.22229245
143,0.22894485
144,0.10897958
145,0.51747197
146,0.47265
147,0.2705651
148,0.23618388
149,0.08282443
