,Loss
0,0.23976283
1,0.22926222
2,0.23633328
3,0.23602282
4,0.23284708
5,0.20918748
6,0.2202167
7,0.20901404
8,0.22649558
9,0.23282026
10,0.2160426
11,0.20745191
12,0.2156056
13,0.21097346
14,0.19832578
15,0.21418023
16,0.22626153
17,0.19313967
18,0.1982944
19,0.20839156
20,0.23073052
21,0.21158442
22,0.21093546
23,0.19348297
24,0.20194203
25,0.19157818
26,0.21840222
27,0.21635668
28,0.20877928
29,0.20598578
30,0.18288828
31,0.19005126
32,0.19868052
33,0.19098404
34,0.20728458
35,0.21518718
36,0.21683235
37,0.23530918
38,0.21259697
39,0.21607028
40,0.21727225
41,0.20093052
42,0.22235386
43,0.21042094
44,0.1960134
45,0.19972742
46,0.20936675
47,0.20823012
48,0.19758287
49,0.2140023
50,0.20276438
51,0.2131706
52,0.21597129
53,0.23010975
54,0.21278568
55,0.21753304
56,0.20356968
57,0.19264264
58,0.22064659
59,0.21504411
60,0.21900283
61,0.20558545
62,0.21537746
63,0.20621149
64,0.20273335
65,0.21396321
66,0.2000788
67,0.18800776
68,0.20918746
69,0.21073972
70,0.19994213
71,0.22234495
72,0.20266871
73,0.20200585
74,0.20221467
75,0.20437661
76,0.21033593
77,0.21603091
78,0.21346235
79,0.20231591
