,Loss
0,0.257839
1,0.22774088
2,0.22920108
3,0.24893437
4,0.23277964
5,0.2296383
6,0.2329186
7,0.23760547
8,0.23963062
9,0.22967781
10,0.23568094
11,0.22465363
12,0.24227126
13,0.2280352
14,0.2213432
15,0.2337973
16,0.2514671
17,0.23447219
18,0.22825778
19,0.2265265
20,0.22656171
21,0.24317059
22,0.22791289
23,0.23233184
24,0.2300288
25,0.22956346
26,0.23187795
27,0.22169593
28,0.23783486
29,0.23983194
30,0.23100069
31,0.22675031
32,0.23035647
33,0.2325963
34,0.22917295
35,0.2298612
36,0.22860244
37,0.23385313
38,0.23033571
39,0.24786185
40,0.22660412
41,0.23904999
42,0.23565224
43,0.22599424
44,0.23123983
45,0.23757873
46,0.23352404
47,0.24199244
48,0.23262912
49,0.22428755
50,0.23451044
51,0.21184655
52,0.22432953
53,0.23373291
54,0.23322567
55,0.20991701
56,0.24506338
57,0.24275778
58,0.21974689
59,0.23085555
60,0.23282126
61,0.24202742
62,0.21899025
63,0.23069866
64,0.22674234
65,0.23022011
66,0.2350179
67,0.22311549
68,0.23091768
69,0.22987597
70,0.22241873
71,0.23019971
72,0.22156991
73,0.21865572
74,0.24510363
75,0.2245114
76,0.23543026
77,0.22101241
78,0.23306179
79,0.23081423
80,0.23052219
81,0.23683435
82,0.22148965
83,0.22391327
84,0.2440908
85,0.2204802
86,0.23824482
87,0.2354905
88,0.22937465
89,0.23879953
90,0.23748714
91,0.20996538
92,0.22318137
93,0.22285184
94,0.21938746
95,0.22987483
96,0.22006698
97,0.20746155
98,0.21634194
99,0.22276756
100,0.21245568
101,0.2264265
102,0.2298867
103,0.23307943
104,0.21482165
105,0.23521073
106,0.22206901
107,0.22453356
108,0.2331227
109,0.22922575
110,0.21610811
111,0.2185131
112,0.22698751
113,0.23888125
114,0.21493666
115,0.2195452
116,0.22995014
117,0.22650349
118,0.22092715
119,0.21428259
120,0.23359543
121,0.22622912
122,0.22964638
123,0.21291888
124,0.22372314
125,0.22042629
126,0.21092725
127,0.2133388
128,0.23327667
129,0.21718268
130,0.2228976
131,0.22279751
132,0.21385638
133,0.2163148
134,0.23027964
135,0.22459014
136,0.2306896
137,0.21613106
138,0.23392975
139,0.21336837
140,0.22853683
141,0.22428723
142,0.22562204
143,0.2080362
144,0.23538822
145,0.2178407
146,0.22850645
147,0.21910585
148,0.23161279
149,0.22221869
