,Loss
0,0.22038497
1,0.20287845
2,0.21309054
3,0.22461803
4,0.2089301
5,0.20753427
6,0.20485416
7,0.2030377
8,0.1981
9,0.21514113
10,0.20590138
11,0.19267206
12,0.20994066
13,0.2012091
14,0.21009558
15,0.20216505
16,0.21546596
17,0.20134164
18,0.20357865
19,0.19947323
20,0.2149565
21,0.20713122
22,0.20460129
23,0.19714455
24,0.20324746
25,0.20828304
26,0.19973281
27,0.1874616
28,0.211662
29,0.20163625
30,0.19523281
31,0.19624448
32,0.20084073
33,0.20068648
34,0.19555888
35,0.20357035
36,0.19522221
37,0.18578564
38,0.1961325
39,0.1845712
40,0.19271973
41,0.17955051
42,0.18525799
43,0.17793357
44,0.18513493
45,0.19143371
46,0.17238611
47,0.17780703
48,0.17698579
49,0.18131146
50,0.18158893
51,0.17981625
52,0.1803367
53,0.18189515
54,0.17117517
55,0.17319852
56,0.17905585
57,0.18912561
58,0.16002141
59,0.17176598
60,0.16240473
61,0.17383797
62,0.16343655
63,0.16184142
64,0.1782082
65,0.1641692
66,0.16046004
67,0.16197619
68,0.16603546
69,0.16374302
70,0.14994095
71,0.15287568
72,0.14549974
73,0.15335226
74,0.15662822
75,0.15150404
76,0.13892007
77,0.15399046
78,0.15088308
79,0.14252767
80,0.14970785
81,0.14288945
82,0.14824045
83,0.14012994
84,0.14722733
85,0.13741349
86,0.1390942
87,0.13752435
88,0.13341647
89,0.14064205
90,0.13961935
91,0.13680711
92,0.1393716
93,0.11917634
94,0.1287654
95,0.12263024
96,0.12809958
97,0.12762885
98,0.12429351
99,0.12201619
100,0.115213096
101,0.11172757
102,0.12459313
103,0.11409658
104,0.11340062
105,0.1148487
106,0.11823538
107,0.12020215
108,0.09827941
109,0.10847416
110,0.111929126
111,0.10636146
112,0.09323004
113,0.0997104
114,0.10792163
115,0.09847208
116,0.10698045
117,0.094660535
118,0.104250625
119,0.09144864
120,0.09290597
121,0.086379915
122,0.09405156
123,0.08694264
124,0.08880987
125,0.092895456
126,0.09204328
127,0.09302502
128,0.088955924
129,0.085100316
130,0.085918106
131,0.0789414
132,0.080259696
133,0.09183344
134,0.08980202
135,0.079999745
136,0.08316427
137,0.08001594
138,0.07485129
139,0.08150711
140,0.08132167
141,0.069037266
142,0.069636814
143,0.07219949
144,0.06840893
145,0.07179417
146,0.07661009
147,0.070237204
148,0.071758136
149,0.07039199
